,sedol,name,symbol,sector,country,weight,date
0,B297KM,China Railway Group Limited Class H,390-HK,Industrials,China,0.100003,2023-12-29
1,B1L2RC,Haitian International Holdings Limited,1882-HK,Industrials,China,0.0842404,2023-12-29
2,52490G10,Legend Biotech Corp. Sponsored ADR,LEGN-US,Health Care,China,0.233986,2023-12-29
3,B1Z7FX,Fosun International Limited,656-HK,Industrials,China,0.0773875,2023-12-29
4,B633D9,Zhongsheng Group Holdings Ltd.,881-HK,Consumer Discretionary,China,0.106772,2023-12-29
5,B1DYPZ,"China Merchants Bank Co., Ltd. Class H",3968-HK,Financials,China,0.724947,2023-12-29
6,B56KLY,Longfor Group Holdings Ltd.,960-HK,Real Estate,China,0.168831,2023-12-29
7,B1HVJ1,China Communications Services Corp. Ltd. Class H,552-HK,Industrials,China,0.0529202,2023-12-29
8,B1H508,"Zhaojin Mining Industry Co., Ltd. Class H",1818-HK,Materials,China,0.0865319,2023-12-29
9,B0MP1B,Shenzhou International Group Holdings Limited,2313-HK,Consumer Discretionary,China,0.454007,2023-12-29
10,BN320P,"China Vanke Co., Ltd Class H",2202-HK,Real Estate,China,0.108809,2023-12-29
11,B0BM5T,China State Construction International Holdings Limited,3311-HK,Industrials,China,0.124278,2023-12-29
12,B01B1L,China Mengniu Dairy Company Limited,2319-HK,Consumer Staples,China,0.451231,2023-12-29
13,98850P10,"Yum China Holdings, Inc.",YUMC-US,Consumer Discretionary,China,0.937554,2023-12-29
14,B8XBQ9,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd. Class H",2196-HK,Health Care,China,0.0576772,2023-12-29
15,BP7MLC,"Shanghai Fudan Microelectronics Group Co., Ltd. Class A",,Information Technology,China,0.0092412,2023-12-29
16,B17N9P,Greentown China Holdings Ltd.,3900-HK,Real Estate,China,0.0618676,2023-12-29
17,B85LKS,AAC Technologies Holdings Inc.,2018-HK,Information Technology,China,0.113946,2023-12-29
18,BGQYNN,Xinyi Solar Holdings Ltd.,968-HK,Information Technology,China,0.152509,2023-12-29
19,B8RZJZ,People's Insurance Co. (Group) of China Ltd. Class H,1339-HK,Financials,China,0.14304,2023-12-29
20,656099,China Oilfield Services Limited Class H,2883-HK,Energy,China,0.0987123,2023-12-29
21,B2Q14Z,Want Want China Holdings Limited,151-HK,Consumer Staples,China,0.153185,2023-12-29
22,BKT6GZ,"CGN Power Co., Ltd. Class A",,Utilities,China,0.02199,2023-12-29
23,23703Q20,Daqo New Energy Corp Sponsored ADR,DQ-US,Information Technology,China,0.0822096,2023-12-29
24,B92NYF,"China Galaxy Securities Co., Ltd. Class H",6881-HK,Financials,China,0.0989091,2023-12-29
25,B0WC2B,Nine Dragons Paper Holdings Ltd.,2689-HK,Materials,China,0.0431845,2023-12-29
26,B0J2D4,"Baidu, Inc. Class A",9888-HK,Communication Services,China,1.78845,2023-12-29
27,B1YVKN,ANTA Sports Products Ltd.,2020-HK,Consumer Discretionary,China,0.659484,2023-12-29
28,B1Z764,Vinda International Holdings Limited,3331-HK,Consumer Staples,China,0.0467423,2023-12-29
29,BZBY9R,C&D International Investment Group Ltd.,1908-HK,Real Estate,China,0.0839115,2023-12-29
30,B43399,"Guangzhou Automobile Group Co., Ltd. Class H",2238-HK,Consumer Discretionary,China,0.0729825,2023-12-29
31,600030,Jiangxi Copper Company Limited Class H,358-HK,Materials,China,0.0836964,2023-12-29
32,600550,Jiangsu Expressway Co. Ltd. Class H,177-HK,Industrials,China,0.0585907,2023-12-29
33,601369,China Southern Airlines Company Limited Class H,1055-HK,Industrials,China,0.0419953,2023-12-29
34,601901,Inner Mongolia Yitai Coal Company Limited Class B,900948-CN,Energy,China,0.0873135,2023-12-29
35,602669,"Anhui Gujing Distillery Co., Ltd. Class B",200596-CN,Consumer Staples,China,0.0876316,2023-12-29
36,BMDMJ8,China Ruyi Holdings Limited,136-HK,Communication Services,China,0.0679319,2023-12-29
37,05278C10,Autohome Inc. Sponsored ADR Class A,ATHM-US,Communication Services,China,0.101391,2023-12-29
38,608039,Anhui Conch Cement Company Limited Class H,914-HK,Materials,China,0.152121,2023-12-29
39,608169,Beijing Enterprises Holdings Limited,392-HK,Utilities,China,0.093474,2023-12-29
40,609967,"Huaneng Power International, Inc. Class H",902-HK,Utilities,China,0.119618,2023-12-29
41,610989,Yankuang Energy Group Company Limited Class H,1171-HK,Energy,China,0.231094,2023-12-29
42,613623,"Hengan International Group Co., Ltd.",1044-HK,Consumer Staples,China,0.126818,2023-12-29
43,618148,Brilliance China Automotive Holdings Limited,1114-HK,Consumer Discretionary,China,0.0899384,2023-12-29
44,619199,CSPC Pharmaceutical Group Limited,1093-HK,Health Care,China,0.442673,2023-12-29
45,619215,China Overseas Land & Investment Limited,688-HK,Real Estate,China,0.360013,2023-12-29
46,619376,China Resources Land Limited,1109-HK,Real Estate,China,0.613674,2023-12-29
47,619615,CITIC Limited,267-HK,Industrials,China,0.309951,2023-12-29
48,621808,Lenovo Group Limited,992-HK,Information Technology,China,0.542735,2023-12-29
49,622657,"PetroChina Co., Ltd. Class H",857-HK,Energy,China,0.743584,2023-12-29
50,626404,"China Taiping Insurance Holdings Co., Ltd.",966-HK,Financials,China,0.0659827,2023-12-29
51,B00XSF,Sino Biopharmaceutical Limited,1177-HK,Health Care,China,0.245075,2023-12-29
52,629181,China Petroleum & Chemical Corporation Class H,386-HK,Energy,China,0.691334,2023-12-29
53,632195,TravelSky Technology Ltd. Class H,696-HK,Consumer Discretionary,China,0.0859868,2023-12-29
54,B3ZVDV,"Sinopharm Group Co., Ltd. Class H",1099-HK,Health Care,China,0.187415,2023-12-29
55,633393,ENN Energy Holdings Limited,2688-HK,Utilities,China,0.31098,2023-12-29
56,634007,KunLun Energy Co. Ltd.,135-HK,Utilities,China,0.187354,2023-12-29
57,635425,COSCO SHIPPING Ports Limited,1199-HK,Industrials,China,0.0539421,2023-12-29
58,BNR5PB,Yuexiu Property Company Limited,123-HK,Real Estate,China,0.0699432,2023-12-29
59,641613,"China Merchants Port Holdings Co., Ltd.",144-HK,Industrials,China,0.105071,2023-12-29
60,642539,Aluminum Corporation of China Limited Class H,2600-HK,Materials,China,0.105055,2023-12-29
61,BP3R8G,"China Merchants Energy Shipping Co., Ltd. Class A",,Energy,China,0.021519,2023-12-29
62,674395,"Weichai Power Co., Ltd. Class H",2338-HK,Industrials,China,0.173053,2023-12-29
63,646079,China Gas Holdings Limited,384-HK,Utilities,China,0.143117,2023-12-29
64,649131,Kingboard Holdings Limited,148-HK,Information Technology,China,0.0848419,2023-12-29
65,653182,Geely Automobile Holdings Limited,175-HK,Consumer Discretionary,China,0.354249,2023-12-29
66,653551,China Resources Gas Group Limited,1193-HK,Utilities,China,0.16184,2023-12-29
67,653665,BYD Company Limited Class H,1211-HK,Consumer Discretionary,China,1.52746,2023-12-29
68,663094,China Everbright Environment Group Limited,257-HK,Industrials,China,0.0639417,2023-12-29
69,665911,Orient Overseas (International) Limited,316-HK,Industrials,China,0.0983255,2023-12-29
70,678204,"COSCO SHIPPING Energy Transportation Co., Ltd. Class H",1138-HK,Energy,China,0.0652368,2023-12-29
71,683542,"Shanghai Baosight Software Co., Ltd. Class B",900926-CN,Information Technology,China,0.0682015,2023-12-29
72,690355,Tingyi (Cayman Islands) Holding Corp.,322-HK,Consumer Staples,China,0.128224,2023-12-29
73,690580,"Tsingtao Brewery Co., Ltd. Class H",168-HK,Consumer Staples,China,0.222722,2023-12-29
74,691316,Guangdong Investment Limited,270-HK,Utilities,China,0.114134,2023-12-29
75,B01YCG,Beijing Enterprises Water Group Limited,371-HK,Utilities,China,0.0477583,2023-12-29
76,697177,China Traditional Chinese Medicine Holdings Co. Ltd.,570-HK,Health Care,China,0.0811022,2023-12-29
77,697245,China Resources Beer (Holdings) Co. Ltd.,291-HK,Consumer Staples,China,0.378897,2023-12-29
78,699076,Zhejiang Expressway Co. Ltd. Class H,576-HK,Industrials,China,0.0598496,2023-12-29
79,BP3R5R,"Hainan Airlines Holding Co., Ltd. Class A",,Industrials,China,0.0266064,2023-12-29
80,44332N10,H World Group Limited Sponsored ADR,HTHT-US,Consumer Discretionary,China,0.369533,2023-12-29
81,BK9488,"Tianfeng Securities Co., Ltd. Class A",,Financials,China,0.0120335,2023-12-29
82,B29MKF,Uni-President China Holdings Ltd.,220-HK,Consumer Staples,China,0.0491192,2023-12-29
83,BFF1YZ,"Oppein Home Group, Inc. Class A",,Consumer Discretionary,China,0.0158797,2023-12-29
84,BMGWW3,"Nongfu Spring Co., Ltd. Class H",9633-HK,Consumer Staples,China,0.621025,2023-12-29
85,BFF1YN,"Juewei Food Co., Ltd. Class A",,Consumer Staples,China,0.00761948,2023-12-29
86,B1YBT0,"Sunny Optical Technology (Group) Co., Ltd.",2382-HK,Information Technology,China,0.345001,2023-12-29
87,B27WRM,Kingsoft Corporation Ltd,3888-HK,Communication Services,China,0.157341,2023-12-29
88,674234,Shandong Weigao Group Medical Polymer Co. Ltd. Class H,1066-HK,Health Care,China,0.12928,2023-12-29
89,670625,"PICC Property & Casualty Co., Ltd. Class H",2328-HK,Financials,China,0.437293,2023-12-29
90,BJLWMG,Chongqing Rural Commercial Bank Co. Ltd. Class A,,Financials,China,0.016215,2023-12-29
91,B01FLR,"Ping An Insurance (Group) Company of China, Ltd. Class H",2318-HK,Financials,China,1.61833,2023-12-29
92,BZ04KX,Yadea Group Holdings Ltd.,1585-HK,Consumer Discretionary,China,0.11484,2023-12-29
93,B2RJYH,Xtep International Holdings Limited,1368-HK,Consumer Discretionary,China,0.0437097,2023-12-29
94,B676TW,MicroPort Scientific Corp.,853-HK,Health Care,China,0.0474538,2023-12-29
95,B01JCK,Li Ning Company Limited,2331-HK,Consumer Discretionary,China,0.338658,2023-12-29
96,B0PH5N,"Dongfeng Motor Group Co., Ltd. Class H",489-HK,Consumer Discretionary,China,0.0675849,2023-12-29
97,B0LMTQ,China Construction Bank Corporation Class H,939-HK,Financials,China,3.05421,2023-12-29
98,BYZJV1,BOC Aviation Limited,2588-HK,Industrials,China,0.084895,2023-12-29
99,B04KNF,Air China Limited Class H,753-HK,Industrials,China,0.0615783,2023-12-29
100,B02ZKQ,China Power International Development Ltd,2380-HK,Utilities,China,0.0969923,2023-12-29
101,BMMV2K,Tencent Holdings Ltd,700-HK,Communication Services,China,13.374,2023-12-29
102,B09N7M,China Shenhua Energy Co. Ltd. Class H,1088-HK,Energy,China,0.617074,2023-12-29
103,B0RJCG,Minth Group Limited,425-HK,Consumer Discretionary,China,0.0814038,2023-12-29
104,B6WY99,China Medical System Holdings Ltd.,867-HK,Health Care,China,0.127479,2023-12-29
105,B15456,Bank of China Limited Class H,3988-HK,Financials,China,1.6169,2023-12-29
106,B0Y91C,China National Building Material Co. Ltd. Class H,3323-HK,Materials,China,0.0883841,2023-12-29
